index,TW_NO,TW_TIME,TW_TEXT,FAV,RT,PERSON,PERSON_LABEL
433,451677492357521408,2014-04-03 20:08:00,出ました。これは事実上のたりない宣言でしょう。詳しく聞かせてもらおうじゃないか。文責山里,63,11,山里,0
434,451677378897408001,2014-04-03 20:07:33,知ってるスタッフなら、大丈夫です。仲いい人限定ですよ。文責若林,91,20,若林,1
435,451677288375922689,2014-04-03 20:07:11,それにこれは、自分でたりてないって白状しちゃったようなもんだよ。本当は飲み会は行きたくないってこと？文責山里,59,15,山里,0
436,451677160437084160,2014-04-03 20:06:41,あ、ゴメンそれってもしかして「飲み会を楽しめない」前提の作戦だよね？文責山里,74,23,山里,0
437,451677064202969088,2014-04-03 20:06:18,ああいう作業のある店に行けば会話しなくても時間もちますし、煙で表情も見えないので安心です。文責若林,143,49,若林,1
438,451676937203638272,2014-04-03 20:05:48,・・・どうして？文責山里,59,15,山里,0
439,451676898720882688,2014-04-03 20:05:39,飲み会ってまず店選びが重要で、もんじゃ焼きかお好み焼きに行けばいいんです。文責若林,125,43,若林,1
440,451676820392263681,2014-04-03 20:05:20,シンプルに失礼！ちなみに飲み会ってどこに飲みに行ってるの？文責山里,56,18,山里,0
441,451676747860160512,2014-04-03 20:05:03,おい、メガネ豚！いつまでもグチグチ言ってんじゃねぇ文責若林,146,53,若林,1
442,451676668692664320,2014-04-03 20:04:44,ウソでしょ？あの孤独鬼の若林くんが？文責山里,65,17,山里,0
443,451676565076598784,2014-04-03 20:04:19,すみません。僕もう飲み会すげぇ行ってるんですよ。文責若林,106,26,若林,1
444,451676495522447360,2014-04-03 20:04:02,若林くんがたりない人間だってことはすぐ証明できるから。文責山里,59,17,山里,0
445,451676431257329665,2014-04-03 20:03:47,ともあれ若林君、今日はふたりにとっておなじみの地獄「飲み会」をテーマにやるからね。文責山里,54,14,山里,0
446,451676370356019200,2014-04-03 20:03:33,ありがとうございます！うっす！文責若林,104,31,若林,1
447,451676311107276800,2014-04-03 20:03:18,文字にここまで棒読みなのが伝わるのはもはや才能だよ！文責山里,61,29,山里,0
448,451676254106697730,2014-04-03 20:03:05,そんなことないですよー文責若林,95,29,若林,1
449,451676201090678784,2014-04-03 20:02:52,ツイッターからスタートなんて、また人見知り発動してるの？文責山里,52,21,山里,0
450,451656902842138624,2014-04-03 18:46:11,ほら、やっぱりたりない・・・文責山里,84,34,山里,0
451,451656775087841280,2014-04-03 18:45:41,うるせーぞ！ターコ！！クズ！！文責若林,257,100,若林,1
452,451656676714618882,2014-04-03 18:45:17,お互いたりない同士、これからもよろしくね。さあどうなる「もっとたりないふたり」乞うご期待です！文責山里,79,40,山里,0
453,451656480370880512,2014-04-03 18:44:30,若林君が「たりない」自覚がもてたら、また漫才できるかな。文責山里,64,26,山里,0
454,451656227764699136,2014-04-03 18:43:30,僕はもう「たりない」は卒業したんですけどね。文責若林,116,40,若林,1
455,451656105274273792,2014-04-03 18:43:01,・・・次回以降、たりてるぶってる悪童に「やはり自分はたりない人間なんだ」という現実を見せつけようと思います！文責山里,70,23,山里,0
456,451655370172141568,2014-04-03 18:40:06,何度も言うけど、若林君は全然たりてないからね文責山里,79,29,山里,0
458,451655190077136897,2014-04-03 18:39:23,なんか、最後恥ずかしいものをお見せしてすみません文責山里,58,22,山里,0
459,451565483758592000,2014-04-03 12:42:55,もっとたりないふたりの控え室、若林くんの机の上にだけ籠一杯のパンが置いてある…僕の所は水が2本だけ…文責山里,114,51,山里,0
460,451428275290529792,2014-04-03 03:37:42,急に上から…あの、とにかくよろしく…文責山里,79,37,山里,0
461,451421418123579392,2014-04-03 03:10:27,おい、山里。明日はよろしくな。文責若林,207,76,若林,1
462,451421149151232000,2014-04-03 03:09:23,ヒルナンデス終わりから稽古までの時間に、桜を見ながら台本覚えましたよ。ドス黒い文言の上に桜の花びらが舞い落ちてきましたよ。文責若林,167,56,若林,1
463,451348497011191808,2014-04-02 22:20:41,明日の本番に向けての最後の打ち合わせ、楽しかったのだが、ここで驚きの事実を知る…まさか花見しながらなんて浮かれた提案があったなんて…文責山里,61,21,山里,0
464,451014588603977728,2014-04-02 00:13:52,ハンガーが大破しました。6年間おつかれさまでした。 文責若林,154,72,若林,1
465,451011956590116864,2014-04-02 00:03:24,明日の稽古、花見しながらできませんかね？ 文責若林,128,46,若林,1
466,450682470594142208,2014-04-01 02:14:08,駆け込みいじりだったとは…文責山里,67,25,山里,0
467,450678458587176961,2014-04-01 01:58:12,もっとたりないふたり、稽古終わり。増税前に山里さんをいじることができてよかったです。 文責若林,157,57,若林,1
468,450558657126621184,2014-03-31 18:02:09,ヤバイ…おちょくりモードの時の若林くんだ…文責山里,54,25,山里,0
469,450557868920422400,2014-03-31 17:59:01,うまい！山ちゃん！ 文責若林,110,25,若林,1
470,450556723527290881,2014-03-31 17:54:28,なんのアピールなんだ若林くん…文責山里,64,23,山里,0
471,450556645068640256,2014-03-31 17:54:09,若林くんの心の汚れは菜の花で洗い流せるようなレベルではないよ…文責山里,112,58,山里,0
472,450527616387137536,2014-03-31 15:58:48,菜の花が咲いてました。心洗われます。文責若林 http://t.co/LMaMktOUjd,372,184,若林,1
473,450521771616108544,2014-03-31 15:35:35,ざっくりとした質問で申し訳ないが、どういうつもりだ？文責山里,100,55,山里,0
474,450520632724180992,2014-03-31 15:31:03,いちご狩りをしています。ほっぺたが落ちそうです。文責若林 http://t.co/wMNZIpZjUJ,418,214,若林,1
475,450184248066965506,2014-03-30 17:14:23,若林くん、桜いじりだしたらもう終わりだよ…文責山里,66,34,山里,0
476,450183962816552960,2014-03-30 17:13:15,まだ来てないのかな？と心配した気持ちを返して！文責山里,44,18,山里,0
477,450005860714950656,2014-03-30 05:25:32,桜がとてもきれいですね。気持ちが明るくなります。文責若林,228,119,若林,1
478,449545622308147200,2014-03-28 22:56:43,今日は隣の楽屋が山里さんだったので、マネージャーと小声で話しました。文責若林,177,55,若林,1
479,448718330740760576,2014-03-26 16:09:21,若林くん、君は返事に部活の後輩みたいなテイスト入ってる時は高い確率でバカにしてる時だとバレているのに気づいていないのかい？文責山里,101,39,山里,0
480,448697895055659008,2014-03-26 14:48:09,うす、辛かったっす。文責若林,145,50,若林,1
481,448585468272058368,2014-03-26 07:21:24,若林くん、試験終わった後もやり続けてきたけど…辛かったの？普通の話をしてる時もやり出してたけど、本当に辛かったの？文責山里,86,44,山里,0
482,448502696006262784,2014-03-26 01:52:30,たりないふたり打ち合わせ。試験的な掛け合いとはいえ、山ちゃんを罵倒しなければいけない。帰り道、とても心が痛む。文責若林,209,84,若林,1
483,448226376974209025,2014-03-25 07:34:30,しかも僕のダメージの方がでかかったんだ…もう言わないよ…文責山里,53,15,山里,0
484,448129529404350464,2014-03-25 01:09:40,アカデミーというワードは山里さんにとって諸刃の剣だってことを忘れないでください。文責若林,133,41,若林,1
485,448076958304186368,2014-03-24 21:40:46,あの写真撮影の時の無表情はアカデミー受賞顔だったよね。文責山里,68,22,山里,0
486,448074880378871808,2014-03-24 21:32:30,アカデミーってわざわざつけなくていいでしょ！文責若林,109,34,若林,1
487,447659541115592704,2014-03-23 18:02:06,え！？あれ演技じゃなかったの！？アカデミー演技だと思って安心してたのに…文責山里,74,44,山里,0
488,447656691585142784,2014-03-23 17:50:46,たりないふたりの撮影は「顔を寄せて笑顔で」なんて絶対言われない不思議。「山里さんに寄りかかられて嫌そうな顔をしてください」と言われる。本当に嫌だからどんどん撮影が進む。文責若林,266,146,若林,1
489,447648751268536321,2014-03-23 17:19:13,番組のポスター撮影。若林くんに求められる表情がネガティブなものばかりでホッとしました。しかも、ずっと絶賛されていて貫禄さえ感じました。文責山里,110,59,山里,0
490,447399470217449472,2014-03-23 00:48:40,たりてるやつがたりない人に無理して合わせてやってるみたいな空気を出さないで！それがバレてるのに気づかないあたりがたりてないのよ若林くん。文責山里,76,30,山里,0
491,447385533019598848,2014-03-22 23:53:17,山里さんはぼくのことをたりないと思っていて、確かにぼくはたりない。これでいいですね？文責若林,150,57,若林,1
492,447189570967195648,2014-03-22 10:54:36,どこかで本当に復活なのか！？という思いがあったが、どうやらたりないふたりは本当に復活するんだなと日々感じる。なのに若林くんは自分はたりてるみたいな空気をまだだしてくる…まったく…文責山里,88,50,山里,0
493,444508364643389440,2014-03-15 01:20:27,即座にああいうポーズできるようになったことにビビってたでしょ？文責若林,112,34,若林,1
494,444493660697001984,2014-03-15 00:22:01,番宣コメントの時の嘘の笑顔は最高でしたよ若林くん！文責山里,73,32,山里,0
495,444476557139001344,2014-03-14 23:14:03,今日は山里さんがちゃんと赤メガネだったので安心しました。文責若林,158,44,若林,1
496,443588039407702016,2014-03-12 12:23:24,あまり無理して背伸びしすぎると足つっちゃうよ若林くん…あんだけ豊富なハイタッチ予防法を持ってるのに…文責山里,55,20,山里,0
497,442989966100938752,2014-03-10 20:46:52,ん？タッチダウンが決まった時は、本場NFL方式のハイタッチでスポーツがもたらしてくれる一体感を味わってますよ。文責若林,120,39,若林,1
498,442878801387597824,2014-03-10 13:25:09,あれは冷静でいられなかったよ…でも、その後に教えてくれた試合中のハイタッチの回避方法、チームメイトのボケの聞こえなかったフリをする方法の話で安心したけど…文責山里,72,27,山里,0
499,442857347484897280,2014-03-10 11:59:54,山里さんこそぼくが草アメフトチーム‘ヘップバーン’を作った話を聞いて冷静さを失ってるんじゃないですか？文責若林,227,78,若林,1
500,442521510058541057,2014-03-09 13:45:24,若林くん、冷静さを失うの早くないかい！？文責山里,97,64,山里,0
501,442520278191448064,2014-03-09 13:40:30,お前が人のことたりないとか言えたタマかよ、タコ！文責若林,304,146,若林,1
502,442519369558392832,2014-03-09 13:36:53,アカデミー賞に関しては、まだ事故処理が終わってないので触れないでいただけると助かります。文責若林,315,178,若林,1
503,442495326415380480,2014-03-09 12:01:21,若林くん、アカデミー賞授賞式見たよ。まぁ、なんて言うんだろう…とにかく、いらっしゃいませ。文責山里,162,99,山里,0
504,442221744162865152,2014-03-08 17:54:14,いよいよ動き出したね若林くん、改めて思うけど、君はたりない…文責山里,78,53,山里,0
505,441052842355224578,2014-03-05 12:29:26,ナタリーさんのたりないふたり特集を久しぶりに読み返して色々と思い出してきました…またあの日々が…この震えはなんの震えなんだろう…まずなにより、チームたりないふたりの皆様、再びどうぞよろしくお願いします。文責山里,87,53,山里,0
506,440518856126115840,2014-03-04 01:07:34,なんか今のやり取りクール気取ってるって見られてないかな…文責山里,62,24,山里,0
507,440518717219160065,2014-03-04 01:07:01,こちらこそよろしくお願いします。文責山里,67,32,山里,0
508,440516286523514880,2014-03-04 00:57:21,そういうことなら、またひとつよろしくお願いします。文責若林,144,69,若林,1
509,440488203175198720,2014-03-03 23:05:46,そうだね…次の４月から用意された場所は[もっと！たりないふたり]らしいしね。文責山里,195,291,山里,0
510,440481385904472064,2014-03-03 22:38:40,次のステージか。確かにもう飲み会に行かない！なんて言って肩寄せ合ってる場合じゃないとは思ってたんですよ。最初のライブから5年ですもんね。たりなさも変わりますよね。文責若林,152,65,若林,1
511,440423153274081280,2014-03-03 18:47:17,Yahooさんは僕が髪型を変えたり、宇多田ヒカルさんの旦那と勘違いされたりしただけでも記事にしてくれるので…何より若林くん、どうやらたりないっぷりが君の場合は次のステージに移っている気がするよ。文責山里,64,37,山里,0
512,440404114380316672,2014-03-03 17:31:37,確かにぼくがのぼっている壁の周りにはきれいに人がいなくなりますよ。文責若林,131,55,若林,1
513,440403415659593728,2014-03-03 17:28:51,山里さん、あなたはもう次世代のMC候補という記事でヤフートピックスに載る男ですよ。正々堂々と立ち技で戦えるでしょ。文責若林,129,56,若林,1
514,440379252039372800,2014-03-03 15:52:50,ボルダリング？イボイボの壁を登るやつか？若林くん、背伸びしすぎてないか？辛くないか？文責山里,71,37,山里,0
515,440378157078573056,2014-03-03 15:48:29,犬は分かるんだよ若林くん。僕も触れ合ってるイルカが途中から体調悪くなった事があるよ。文責山里,182,90,山里,0
516,440370946860261376,2014-03-03 15:19:50,はい。キャバクラ覚えました。あと2年前から変わったことといえば、ジムでボルダリングをはじめました。壁をのぼってます。文責若林,173,89,若林,1
517,440369514488668160,2014-03-03 15:14:08,一斉に放たれた犬が一匹も寄ってこなかった。他の出演者は犬まみれになっているのに。おかしい。文責若林,344,174,若林,1
518,440360468264144896,2014-03-03 14:38:11,ん？若林くん、キャバクラ覚えたのか！？文責山里,58,31,山里,0
519,440360344381186050,2014-03-03 14:37:42,僕は今モデルさんの買い物にちゃちゃ入れてますが…文責山里,56,20,山里,0
520,440318157442404353,2014-03-03 11:50:04,キャバクラの子が言ってました。文責若林,118,35,若林,1
521,440317930023055361,2014-03-03 11:49:09,山里さん、ぼくは今ロケで子犬にミルクをあげてますよ。文責若林,229,106,若林,1
522,440294005817888768,2014-03-03 10:14:05,あと、そうやって分析して身動きとれなくするあたり…あんた何も変わってないよ。文責山里,81,33,山里,0
523,440292892045611008,2014-03-03 10:09:40,どこで聞いた！？まずその情報を早急に！文責山里,61,23,山里,0
524,440290482568953857,2014-03-03 10:00:05,山ちゃんのこと好きっていう人最近急に増えましたよ。たりないなんて言ってマウントとらせて下から関節狙うのはもうやめましょうよ。文責若林,207,63,若林,1
525,440237352254840832,2014-03-03 06:28:58,毛先を遊べば何かが変わる、そう思ってるのは認めるよ、若林くんだって、収録の合間にフレンドリーな感じ出すためだけにゲストの事Wikipediaで調べたりしてるじゃない、だけど、チョイス間違って会話すぐ止まってたけどね。変わろうとはしてるがお互い変われてないのよ…文責山里,114,51,山里,0
526,440235695437647872,2014-03-03 06:22:23,コンパだって、ほぼ女子と会話できず、基本ふたりの会話を聞いて笑った女子をふたりでチラッと見て会釈の繰り返しだったじゃないの。その日のうちに僕のダメなポイントを安島さんに密告してるあたり、あれはたりてなかった。文責山里,102,46,山里,0
527,440139558215110656,2014-03-03 00:00:22,最近はよく飲み会も行くし、コンパも仲良く2人で行ったじゃないですか。山里さんのおかっぱのようにたりなさも収縮してるんじゃないですかね。文責若林,177,75,若林,1
528,440131630179438592,2014-03-02 23:28:52,今日のモデルのショーに出てた女装する若林くんの目、あれはいい目をしてた！文責山里,120,71,山里,0
529,440131349056192513,2014-03-02 23:27:45,若林くん、自信を持って！君は絶対にたりてない！目、君の目を見たら全て分かる！たりてないよ！文責山里,125,75,山里,0
530,440059808868081664,2014-03-02 18:43:29,たりないふたりはやっぱり、たりないとできないですよね。文責若林,207,109,若林,1
531,440059537945399297,2014-03-02 18:42:24,そこなんですよね。ぼくらまだたりないんですかね？安島さんはさっき「たりない！特に若林くんはたりない！」って熱弁してましたけど。文責若林,177,79,若林,1
532,440050857631940608,2014-03-02 18:07:54,あと、黒縁はオシャレな番組と本気の合コンの時だけです文責山里,91,54,山里,0
533,440050581420269568,2014-03-02 18:06:49,若林くん、たりないふたりも余白たっぷりよ！文責山里,72,45,山里,0
534,440037179532640257,2014-03-02 17:13:33,あ、最近はたまに黒縁メガネか。文責若林,203,110,若林,1
535,440035224781459457,2014-03-02 17:05:47,去年やった単独ライブでオードリーの漫才にまだ余白があることを発見して、最近はそのことをたまに考えていたので、ここへきての唐突な赤メガネにびっくりしてしまって。文責若林,442,203,若林,1
536,440015098656993280,2014-03-02 15:45:49,若林くんの「うーん」の方が僕のどのつぶやきよりもRTされてるし、お気に入りにされてる…文責山里,150,124,山里,0
537,440004801246425088,2014-03-02 15:04:54,やっと来たと思ったら、少ない文字で後ろ向きな感じを完璧に表現！文責山里,115,81,山里,0
538,440001701546717184,2014-03-02 14:52:35,うーん。。     文責若林,400,265,若林,1
539,440001675961462784,2014-03-02 14:52:29,…ひとりなのか…文責山里,96,77,山里,0
540,439643161766277120,2014-03-01 15:07:52,僕の学生時代の写真で、顔にペインティングしてる僕を見つけてから若林くんの中で何かが変わってしまったのだろうか…あの時「たりふた裁判で裁いてやる」と囁いて来た時に気付くべきだったか…文責山里,102,68,山里,0
541,439230715113111552,2014-02-28 11:48:57,…思った以上に一方通行…文責山里,97,83,山里,0
542,438989040805617665,2014-02-27 19:48:38,若林君、もしかして、アカデミー賞授賞式で若林君も記録的にすべれ！と僕が言ったから怒ってるのかい？文責山里,150,155,山里,0
543,438942705100419072,2014-02-27 16:44:30,若林君…ただただ恥ずかしくなってきたよ…文責山里,120,92,山里,0
544,438592983223398401,2014-02-26 17:34:50,そういえば、若林君はたりふたSUMMER JAMのパネルも終わった際に持って帰るか聞かれたら即答で「いりません」って言ってたもんな…文責山里,132,95,山里,0
545,438486356126212096,2014-02-26 10:31:08,もう怖い…あの男は、たりないふたりごと忘れてしまったのでは！？そうだ、打ち上げ誘っても「トイストーリーのDVDを観る」を理由に帰ったりする男だからなぁ…文責山里,239,207,山里,0
546,438314574102556672,2014-02-25 23:08:32,若林くん安定のほったらかし…あの、もしやココの事完全に忘れてる？文責山里,164,216,山里,0
547,438205591073210370,2014-02-25 15:55:29,なんかすごい話を聞いたんだけど、若林くんやれる？文責山里,312,506,山里,0
549,281195459400314880,2012-12-19 09:33:16,あっさり去って行った若林くん…そして、日頃家で独り、足でやってるジェンガを出すとは…僕の昆布帽子に需要はあるのか…皆様、分け隔てなく欲しがってください。文責山里,34,19,山里,0
550,281089817981370368,2012-12-19 02:33:29,じゃあ、ジェンガ出します！応募方法とかはスタッフさんお願いします！さようなら。文責若林,64,30,若林,1
551,281077312068399104,2012-12-19 01:43:48,昆布帽子を勝手にDVDプレゼントにされてるし…バナナペンケース出すならと言おうと思ったら捨ててやがった…思い出とかそういう感情をどこに置いてきた！？とりあえずそっちもなんか出せ！文責山里,34,16,山里,0
552,281076836665016321,2012-12-19 01:41:54,久しぶりの登場が雑だよ若林くん…文責山里,42,20,山里,0
553,281073449458339842,2012-12-19 01:28:27,そうだ！バナナペンケース捨てちゃった文責若林,76,52,若林,1
554,281072730885988352,2012-12-19 01:25:35,"飲んでねーよ！ターコ！　文責若林""@_purin_purin_: @tarinaifutari もしかして酔ってますか！？明日の朝になったら恥ずかしくなってそのツイート消すんじゃ…((((；ﾟДﾟ)))))))""",85,44,若林,1
555,281072351968370688,2012-12-19 01:24:05,山里さん！DVD発売なんで、なんかプレゼントしませんか？あの、展示した昆布の帽子とか。文責若林,47,28,若林,1
556,281071722478837760,2012-12-19 01:21:35,"ありがとう！おっもしろいですよー(^^)　文責若林""@AKUMAAA25: まさやすさーん^_^ 明日DVD買うね♬  RT @tarinaifutari: いじらせて得意の体勢に持っていこうたって、そうは行くかよ！ 文責若林""",42,13,若林,1
557,281070209618558977,2012-12-19 01:15:34,やーせ！ 文責若林,63,24,若林,1
558,281070104773537792,2012-12-19 01:15:09,いじらせて得意の体勢に持っていこうたって、そうは行くかよ！ 文責若林,62,31,若林,1
559,281055321269624832,2012-12-19 00:16:25,あれから4ヶ月たったのね…「たりふた SUMMER JAM '12」あれがDVDになって世に出る事は僕らにとって大丈夫なのでしょうか…あとナタリーの取材のあなたの第一声異議ありです。文責山里,48,67,山里,0
560,259515383139143681,2012-10-20 13:44:23,若林くん、この俺をピエロ的に扱ってるね？あと、私活躍の場所は土俵ではございませんので！文責山里,28,15,山里,0
561,259497107193491456,2012-10-20 12:31:46,山里さんの妄想恋愛に「2012年8月に収録したものです」ってテロップいれた方がよさそうですね。では、また来場所で。さようなら。文責若林,72,62,若林,1
562,259079616499679232,2012-10-19 08:52:48,なんか恥ずかしい位一人で相撲とっちゃってる…文責山里,25,18,山里,0
563,258947026463629312,2012-10-19 00:05:56,おいっ！↓文責山里山里＆若林のDVD「たりふた SUMMER JAM '12」発売決定 http://t.co/wG5e3XmZ,68,181,山里,0
564,258940914435760128,2012-10-18 23:41:39,そして安定の投げっぱなし…文責山里,32,20,山里,0
565,258929039945895937,2012-10-18 22:54:28,あの…答えは？文責山里,28,25,山里,0
566,258917734644064256,2012-10-18 22:09:33,また僕だけ連絡網を飛ばされてるのか…文責山里,41,47,山里,0
567,258915868862476288,2012-10-18 22:02:08,若林くん！ここの復活はもっと繊細な感じで行くって話してたよね？で、何が？文責山里,51,59,山里,0
568,258899126299787265,2012-10-18 20:55:36,山里さん、聞きました？出るらしいっすよ。文責若林,100,231,若林,1
570,237626402671820801,2012-08-21 04:05:23,そして特訓。失敗は許されない。しかし、今後の役にたつかと言われるとそんなこともない。文責若林,44,26,若林,1
571,237382989514952704,2012-08-20 11:58:09,山ちゃん、力を合わせて、笑顔でがんばりましょうね！(^^)文責若林,75,62,若林,1
572,237380513747324928,2012-08-20 11:48:19,"2mぐらいで終わるね。文責若林""@makiemon_emonu: @tarinaifutari 今度たりないふたりもパレードやってください。""",41,31,若林,1
573,237373057193365504,2012-08-20 11:18:41,いや、山ちゃん堅いな！！文責若林,30,16,若林,1
574,237326623651794944,2012-08-20 08:14:11,たりふたSUMMERJAM当日です！色々な所からお越しいただくという言葉の数々、本当に嬉しゅうございます。それにお応えできるよう悪童と頑張ってまいりましたので、あとは皆様ひたすら楽しんでいただければと思います！では、後ほど。愛馬大江戸線より文責山里,39,50,山里,0
575,237266904266465280,2012-08-20 04:16:52,"いいですね！文責若林""@Masamusic32: @tarinaifutari 私も今夜のたりふたフェスに備えてBSでap bank fes観ながら正しいタオルの振り方特訓中です♪ヽ(´▽｀)/""",19,5,若林,1
576,237266652620812289,2012-08-20 04:15:52,"がんばります！文責若林""@YOYOYOYOYOSHI: 若林さん、男一人ですが、今日のたりふたフェス見に行きます。楽しみにしてます。 @tarinaifutari""",19,4,若林,1
577,237264062520623104,2012-08-20 04:05:35,"特訓中です。異業種の方と。文責若林""@150Pe: @tarinaifutari お疲れ様です！ きっと､まだ､お仕事されてますよね？明日の為に寝させて頂きます｡  謎の男も頑張って下さいね!!!""",19,3,若林,1
578,237262740996116480,2012-08-20 04:00:20,"全然いいですよ。文責若林""@yutomiya: @tarinaifutari miwaちゃんのライブのタオルでいいですか？""",24,9,若林,1
579,237258258832830464,2012-08-20 03:42:31,"金棒は迷惑の範疇じゃないですか？文責若林""@naaachaan59: @tarinaifutari 金棒とか振り回してる人きたらどうするつもりなんでしょうか""",19,5,若林,1
580,237205338175197186,2012-08-20 00:12:14,何かを振る前提のアドバイス…明日のライブをどうするつもりなのよ若林くん？文責山里,21,8,山里,0
581,237195443006742528,2012-08-19 23:32:55,タオルじゃなくても振るものは他のお客様に迷惑にならなければなんでもいいです。文責若林,40,22,若林,1
582,237154039027073024,2012-08-19 20:48:23,タオル持って回さないと、多分客席で浮きますよ。文責若林,41,47,若林,1
583,237128240576200704,2012-08-19 19:05:52,フェスという言葉に引っ張られすぎだよ若林くん…タオルをどこで回せってぇのさ…文責山里,27,17,山里,0
584,237101508234203136,2012-08-19 17:19:39,いよいよ明日は本番です。フェスなのでタオルを振り回して楽しんでください！文責若林,46,81,若林,1
585,237034618279309312,2012-08-19 12:53:51,本番前にこれを一番練習するんでいいのかと思いながらも特訓。異業種の人との触れ合い。文責若林,33,19,若林,1
586,236724091179134976,2012-08-18 16:19:56,モニターで確認できるいつもの悪い部分ってのはなんだ若林くん？京都の空がこの俺の気持ちを悟ったのでしょうか、つぶやきを書き終える位に、雷が鳴り大雨が降り出した！文責山里,23,13,山里,0
587,236394198625038336,2012-08-17 18:29:03,山ちゃんが口が悪くなってないのをモニターで見て確認。悪いのはいつもの部分だけでした。文責若林,34,25,若林,1
588,236257586276610048,2012-08-17 09:26:12,本日もよろしくお願いします。朝からの若林くんとの打ち合わせという事で、いつもの後遺症(口悪くなる)が今日一日残らないかどきどきしております…あ、あとランチパックのTシャツは封印しました…文責山里,24,15,山里,0
589,235877642438574080,2012-08-16 08:16:27,気づけば僕が色々やめてるんですが…で、何？ランチパックのTシャツ？昨日の打ち合わせ中に一度も触れずにココでくるとは…若林、あいかわらずくずだってよ…文責山里,42,29,山里,0
590,235759906538532866,2012-08-16 00:28:36,"(^^)文責若林""@yada_was_mywife: @tarinaifutari 山里、「皆様お気づきの通り」ってまくらことば辞めるってよ""",28,11,若林,1
591,235757160695472128,2012-08-16 00:17:41,"(^^)文責若林""@7383wzy: @tarinaifutari 山里、鏡に向かって最高のキメ顔練習するの辞めるってよ""",31,17,若林,1
592,235754982937337857,2012-08-16 00:09:02,山里、ランチパックのTシャツ着るのやめるってよ。文責若林,55,60,若林,1
593,235754738719797248,2012-08-16 00:08:04,山里、愛馬大江戸線という言い回しやめるってよ。文責若林,86,75,若林,1
594,235680016023834624,2012-08-15 19:11:09,"(^^)文責若林""@nose_ichinose: @tarinaifutari  山里、おつかれジョアやめるってよ""",41,18,若林,1
595,235679176697475072,2012-08-15 19:07:49,"(^^)文責若林""@szkelukoro: @tarinaifutari 山里、白菜蒸すのやめるってよ。""",32,20,若林,1
596,235675935494520832,2012-08-15 18:54:56,山里、左門豊作のコスプレやめるってよ。文責若林,47,49,若林,1
597,235672427949076480,2012-08-15 18:41:00,"(^^)文責若林""@kingchild1: @tarinaifutari 山里、妖怪やめるってよ。""",52,54,若林,1
598,235642505985667072,2012-08-15 16:42:06,若林くん、勝手に僕を銀幕デビューさせないでください…文責山里,33,33,山里,0
599,235636341042446336,2012-08-15 16:17:36,山里、部活やめるってよ。文責若林,126,224,若林,1
600,235635994064482304,2012-08-15 16:16:13,山里さん、携帯のカバーも展示したいのでご持参ください。文責若林,35,16,若林,1
601,234789557005062144,2012-08-13 08:12:47,フェスを気に入った！？若林くんからたりないふたり展の為に持って来いと言われた数々のものに眉間のシワ寄せまくってた私の顔は見えてなかったのかい？文責山里,25,15,山里,0
602,234776533544353792,2012-08-13 07:21:02,昨日の打ち合わせで山里さんがかなりフェスを理解してくれて、気に入ってくれた。いつもと違うたりないふたりをお届け出来そうです。文責若林,33,27,若林,1
603,234772482622623744,2012-08-13 07:04:56,他人と自分はざっくり言うと飲み会が好きな人と自分。文責若林,41,26,若林,1
604,234491379999469568,2012-08-12 12:27:56,あと、一週間。ヤバい。♯11で自分に合わせるか、他人に合わせるかだな。と思ってからペンがなかなか進まない。文責若林,39,16,若林,1
605,234490413921214464,2012-08-12 12:24:05,"山里裁判長！判決をお願いします！文責若林""@zatoo310: @tarinaifutari 山里さん！昨日の朝5時頃の若林さんのリプライがいくつか削除されてるんですけど。これは若林さんが深夜のテンションで言ったのを起きて見たら恥ずかしくなった的な事ですか？""",28,7,若林,1
606,234488367352520704,2012-08-12 12:15:58,楽屋に訪問される方は分け隔てなくテンションを上げていただくようお願いいたします。あまり深い意味はありませんが、私はお招きする気マンマンです！文責山里,22,7,山里,0
607,234382699949850625,2012-08-12 05:16:04,"僕は苦手ですね。山ちゃんは得意だと思います。山ちゃんは人が好きだから。文責若林""@shige_jage: @tarinaifutari 楽屋訪問ってたりないふたりにとっては苦手な分野ではありせんか？""",33,5,若林,1
608,234381381126463488,2012-08-12 05:10:50,そういえば、楽屋訪問って何するんだろう？山里さん知ってるかな？文責若林,31,11,若林,1
609,234380932759572480,2012-08-12 05:09:03,"はーい。せっかくの機会なのであと一週間Twitterを感じてみます。ありがとう。文責若林""@rinrinrinm: @tarinaifutari たりふたSUMMERJAMまであと1週間…せめてあと1週間はTwitter嫌いと言わずにたくさん更新してくださいね、文責若林さん。""",30,5,若林,1
610,234376153413087232,2012-08-12 04:50:04,オールナイト終わり名物眠れない。ゴッドタンの録画を見ながら(2回目)、たりないのことを。やっぱり気になる会場の広さ。ビール飲もうかな。それにしても1番の子の大喜利が面白い。文責若林,50,24,若林,1
611,234370925506732032,2012-08-12 04:29:17,"お楽しみに！文責若林""@riko_yuu: @tarinaifutari どんな感じになるのか…いろんな妄想が頭の中を駆け巡っててドキドキが止まらない～あと10日、楽しみしかない(*≧ω≦*)頑張って上京します。たりふたの夏…。""",20,4,若林,1
612,233560891029848064,2012-08-09 22:50:30,若林くん、たりふた展という武器で僕をめった打ちにする気か？君の悪魔の笑いの餌になるようなモノを僕が出すとおもったかぃ？文責山里,25,13,山里,0
